Quantity,Name,Tags,Scryfall ID,Mana Value,Colors,Identities,Mana cost,Types,Sub-types,Super-types,Scryfall Oracle ID
1,Abandon Attachments,,74ca45a4-97ab-4255-9129-884e8b42b984,2,"Red,Blue","Blue,Red",{1}{U/R},Instant,Lesson,,82333385-631f-4abf-b159-bb367f1c6fd9
1,Abandoned Campground,,ee0565f5-ebdb-43f9-bbb4-0485b1968937,0,,"White,Blue",,Land,,,0eec9984-cd11-4a52-9234-469c6a5fb9aa
3,Abrade,,a0e47d11-cb21-402b-a39e-588a94cc57b4,2,Red,Red,{1}{R},Instant,,,f9db72dc-9a5b-48a4-a86e-7464d9a2166a
1,Abstract Paintmage,,ea008094-d995-4740-9b39-c61049356c55,3,"Red,Blue","Blue,Red",{U}{U/R}{R},Creature,"Djinn,Sorcerer",,bc899d5c-0a91-4f19-a3e4-3078ae966110
1,Abundance,,9ab8ad39-840e-474b-beb8-96a7c2a8d0fa,4,Green,Green,{2}{G}{G},Enchantment,,,eccc9a54-2b56-4a02-9926-258d5b2e25fb
1,Abundant Growth,,d15adc93-1a71-453b-8277-4a525a9cbc7b,1,Green,Green,{G},Enchantment,Aura,,947a2665-2f4d-4193-8768-118f85334549
1,Abzan Battle Priest,,c0fb53e6-441f-4faa-bf0e-0847cf83279d,4,White,White,{3}{W},Creature,"Human,Cleric",,1b44fe0a-4a99-4166-b0b3-102b36b54ffa
1,Abzan Devotee,,66555946-e747-46fa-b1ac-b103a8edcd93,2,Black,"White,Black,Green",{1}{B},Creature,"Cleric,Dog",,3d02ee2f-b7bd-40b0-b9be-2420991b2be0
1,Abzan Falconer,,9c06621d-a0c9-4c84-8b1a-cb0abd8390c4,3,White,White,{2}{W},Creature,"Human,Soldier",,8b972819-507a-40a9-ab1f-1a674ea56083
1,Academy Manufactor,,60709d98-c98d-48c0-ac4a-4ff73e7a0c4b,3,,,{3},"Creature,Artifact",Assembly-Worker,,f36d1d8b-8303-44a9-ab56-531931641ea2
1,Accelerated Mutation,,282f808c-0b58-4b98-aeda-f606a10d1a4b,5,Green,Green,{3}{G}{G},Instant,,,f8a9c279-0f11-4a22-8651-f9caf013ca3c
2,Access Tunnel,,8101166d-03e1-4bc9-b50a-05743c02d653,0,,,,Land,,,ed9cc560-f30b-4b60-a094-ccf93ed656a7
1,Access Tunnel,,8101166d-03e1-4bc9-b50a-05743c02d653,0,,,,Land,,,ed9cc560-f30b-4b60-a094-ccf93ed656a7
3,Accumulate Wisdom,,a6335319-6c92-40d4-ab2d-c06c79049c30,2,Blue,Blue,{1}{U},Instant,Lesson,,a63eb744-71c4-447d-9372-c3a734f022c5
1,Accursed Marauder,,5da14d86-0780-4821-a799-96f64b377df4,2,Black,Black,{1}{B},Creature,"Warrior,Zombie",,d8ad23a1-0b43-48ea-9fbe-d89b29194509
1,Accursed Witch // Infectious Curse,,8093f8b0-5d50-48ca-b616-e92535a47138,4,Black,Black,,Creature,"Human,Shaman",,80b07882-e144-4815-8b6f-04b3ab343d97
1,Acrobatic Leap,,47f82d84-03ad-42dd-80ce-f0ac5e353e46,1,White,White,{W},Instant,,,1347224f-421e-4270-8e50-cf25c875909c
1,Act of Treason,,a1a9d323-fb40-411b-a0e7-64024bc6ba58,3,Red,Red,{2}{R},Sorcery,,,9d08af23-9f4a-4097-9abc-3b17475ab744
1,Act of Treason,,9160dde8-cd77-4967-a5f3-a676376c58f7,3,Red,Red,{2}{R},Sorcery,,,9d08af23-9f4a-4097-9abc-3b17475ab744
1,Adarkar Wastes,,1f056e21-63b3-4684-be5b-04ac220c4a52,0,,"White,Blue",,Land,,,d5ad26cc-2bdb-46b7-b8bf-dd099d5fa09b
1,Adelbert Steiner,,1a67a991-1e52-4676-a2e3-2bc7aa943ab3,2,White,White,{1}{W},Creature,"Human,Knight",Legendary,657a4500-4b47-4c78-945b-a7791af7d10e
1,"Adeline, Resplendent Cathar",,1de30c12-2011-495a-be25-f7a46b23e142,3,White,White,{1}{W}{W},Creature,"Human,Knight",Legendary,38515f89-348b-4cf3-b7bd-1f6fe4ce2fba
1,Adventuring Gear,,3aa395f2-656e-4bf3-bd9b-6240bd3e2774,1,,,{1},Artifact,Equipment,,17042684-7af4-43a6-88c7-885032cfb27c
1,Aerith Rescue Mission,,3123d16c-e1e6-4659-a7a3-2ec6efc6bf08,4,White,White,{3}{W},Sorcery,,,14c3e48b-4c4e-4787-8c50-0e3aee19aa23
1,Aetherize,,1e5530fc-0291-4a17-b048-c5d24e6f51d8,4,Blue,Blue,{3}{U},Instant,,,7c779721-cd1b-4696-9ae9-68ccc284ed2a
1,Aethersnipe,,c44c623e-9ae1-495d-b72d-166f2ed4cf2c,6,Blue,Blue,{5}{U},Creature,Elemental,,3e0be003-4f42-4917-b85d-46baf2afd734
1,Aether Spellbomb,,f3792e8b-4ad7-4e2d-994c-c4eaac0fa55f,1,,Blue,{1},Artifact,,,4b033a0a-c1ae-44d7-9662-72cbbfda024b
1,Aetherspouts,,04a19129-312b-47e3-abed-1dc39e432921,5,Blue,Blue,{3}{U}{U},Instant,,,48369aec-a991-4bef-8554-01c84302b063
1,Afterlife from the Loam,,9361b548-a8d9-4e57-98cf-0c464742e1c9,8,Black,Black,{5}{B}{B}{B},Sorcery,,,151c867f-cc77-42de-9ae5-5fd2233ccdab
1,Aftermath Analyst,,66f135b4-8cb3-4a4e-86ae-81a3cf4b7259,2,Green,Green,{1}{G},Creature,"Elf,Detective",,374e54d8-8e73-4268-9dde-c28c77bbbf32
1,Agent of the Iron Throne,,5a5984d3-1e76-4d97-9373-b59cfa9c38ae,3,Black,Black,{2}{B},Enchantment,Background,Legendary,325032d5-c452-4454-8976-82f86fee5ab8
1,Agent of Treachery,,6e593b9b-a584-48cd-8b92-b65c3eee0b80,7,Blue,Blue,{5}{U}{U},Creature,"Human,Rogue",,4cd82c7a-86df-4d29-b578-c009208c0d4b
1,Agents of HYDRA,,857fef2e-df1f-4ec6-a262-f6fa52389cf9,2,Black,Black,{1}{B},Creature,"Human,Spy,Villain",,31816924-1430-4581-86e8-325e2ca16217
3,Agents of HYDRA,,857fef2e-df1f-4ec6-a262-f6fa52389cf9,2,Black,Black,{1}{B},Creature,"Human,Spy,Villain",,31816924-1430-4581-86e8-325e2ca16217
1,Agent Venom,,f5f80d82-d64c-466f-8874-9cfb00469f02,3,Black,Black,{2}{B},Creature,"Soldier,Hero,Symbiote",Legendary,14c356aa-178d-4c14-a88e-fbe92ee6d89f
1,Aggressive Mammoth,,4e68b3bd-996e-4383-b134-f529bcb768de,6,Green,Green,{3}{G}{G}{G},Creature,Elephant,,032b5fc4-5aca-41b6-9bf6-2c1ed0018968
2,Aggressive Mammoth,,323f3c76-5e79-43e6-ae78-f555810edbc3,6,Green,Green,{3}{G}{G}{G},Creature,Elephant,,032b5fc4-5aca-41b6-9bf6-2c1ed0018968
1,Agitator Ant,,bc63ff71-ff42-4baf-977b-55f69c8e122f,3,Red,Red,{2}{R},Creature,Insect,,abe377f8-35f0-4dea-a681-91d31a36815c
1,Agna Qel'a,,6b885829-a323-4f7d-87c9-aa4615dcbe5c,0,,Blue,,Land,,,22d0a848-2126-48f0-9050-38daaf93b1d0
1,Ainok Wayfarer,,57695a9b-8f72-4ccc-a946-5d5037b09b8f,2,Green,Green,{1}{G},Creature,"Scout,Dog",,8134f3fd-197a-4b44-a370-311cc955dea3
1,Airbender Ascension,,99a90d13-891c-45cc-b1d5-6080ebae5862,2,White,White,{1}{W},Enchantment,,,c4d2fdf9-637d-4e97-ae33-45f2d27bf8cd
1,Airbender's Reversal,,6b7078e4-2892-4b5f-83ab-90369e0d6dba,2,White,White,{1}{W},Instant,Lesson,,64e3791b-de99-4eed-af49-cbec218c28aa
1,Airbending Lesson,,e2bcd0a6-e94d-4a21-a334-a57459c1b8cc,3,White,White,{2}{W},Instant,Lesson,,e101b744-9175-4aa5-bf80-d6944359e538
3,Air Elemental,,194d52c7-cdaf-49bc-ae32-350a526af239,5,Blue,Blue,{3}{U}{U},Creature,Elemental,,7744bae4-a8b7-44a5-9b4c-0048ad4cc448
1,Air Nomad Legacy,,10874416-fa4c-4aa3-b885-4351d011d208,2,"White,Blue","White,Blue",{W}{U},Enchantment,,,9e830359-ab92-4bfd-82b3-d9c67ac80cf7
1,Airship Crash,,ec91c4e4-711f-464d-bc83-e6813f4fdcdb,3,Green,Green,{2}{G},Instant,,,72a0e0f1-e8be-441a-bcaf-029fb1bd1fd2
1,Airship Engine Room,,0b98ba34-f251-4bd0-9d75-1d4445be5cfd,0,,"Blue,Red",,Land,,,01ed9139-293d-4477-a145-3c6fe59266c7
1,Airtight Alibi,,bffbbe21-0a1d-48b9-903e-81c109aa11de,3,Green,Green,{2}{G},Enchantment,Aura,,cb666ea8-55e3-4e27-ae6d-806677dfc17a
1,Ajani's Chosen,,83ec7a9d-d932-4edc-857f-0fae060d1480,4,White,White,{2}{W}{W},Creature,"Soldier,Cat",,9c77eb0a-543a-41db-ba1f-aa0163837ae0
1,Ajani's Pridemate,,222c1a68-e34c-4103-b1be-17d4ceaef6ce,2,White,White,{1}{W},Creature,"Soldier,Cat",,95e94dea-5ac0-4d6f-adec-ca147aee861f
1,Ajani's Pridemate,,2f717e04-c078-4696-9ed6-e973033d7be0,2,White,White,{1}{W},Creature,"Soldier,Cat",,95e94dea-5ac0-4d6f-adec-ca147aee861f
1,"Ajani, the Greathearted",,6cc78151-8cb0-4521-9674-fb0c67e24a17,4,"White,Green","White,Green",{2}{G}{W},Planeswalker,Ajani,Legendary,f5d9be71-91d0-4166-ba58-cbbf5d490c40
1,"Akawalli, the Seething Tower",,3ee62dd1-97d0-4e5d-8937-26c9e51e9414,3,"Green,Black","Black,Green",{1}{B}{G},Creature,Fungus,Legendary,0679dcef-e1c3-4739-a769-18a4ffdcfde7
1,A Killer Among Us,,2c1392c5-91a5-4e6e-803d-ed032e4d594b,5,Green,Green,{4}{G},Enchantment,,,79d577a8-53c0-4220-bc0e-70764d72d5fd
1,Akoum Hellhound,,3a5ad1c8-3d70-43ed-9539-2aa6289c5c4a,1,Red,Red,{R},Creature,"Elemental,Dog",,05074b68-6b31-4f9f-b3ec-bffe3e7eab47
1,Akoum Warrior // Akoum Teeth,,d8ed0335-daa6-4dbe-a94d-4d56c8cfd093,6,Red,Red,,Creature,"Warrior,Minotaur",,afedce7b-0e18-40ad-a26a-1933fddb560d
1,Alabaster Host Sanctifier,,efbd934a-39c4-4ce7-af2a-34ca226d7f23,2,White,White,{1}{W},Creature,"Cleric,Phyrexian",,ad172d4e-febf-4844-9544-861d03e27ab5
1,Alchemist's Refuge,,36a11c11-1ea9-48e2-b1bc-49cba1390620,0,,"Blue,Green",,Land,,,357ed28b-899f-404b-94ff-6fb2ef81d87b
1,"Alexios, Deimos of Kosmos",,e81b94b2-4052-4686-a788-9baf0fa0f81a,4,Red,Red,{3}{R},Creature,"Human,Berserker",Legendary,81c6c4f0-81ad-463c-a42b-60a73e6d70f3
1,Alley Assailant,,edf238c9-61de-4f3a-b82f-05af46e5e81b,3,Black,Black,{2}{B},Creature,"Vampire,Rogue",,57eba48e-87bd-4b54-8635-7348020f2ba4
1,Allied Teamwork,,8a347283-eb16-4339-945e-316a5ce9e2c5,3,White,White,{2}{W},Enchantment,,,ceddea59-de47-4ddd-b424-6e1dcb13ab79
1,Allies at Last,,11a77897-2aba-4a9b-bbe6-1768ca9f12cb,3,Green,Green,{2}{G},Instant,,,c15e5e93-2eff-407d-ae75-437e36ef85ba
1,All That Glitters,,d9713032-2956-4564-b5f5-2dd16245a4e6,2,White,White,{1}{W},Enchantment,Aura,,a4d751e0-41c1-4e90-853d-512f385acd81
1,Alluring Suitor // Deadly Dancer,,397ffd01-c090-4233-9f5a-5f765886d498,3,Red,Red,,Creature,Vampire,,e98e8129-3e0e-45cc-b00c-1387cc592023
4,Alms of the Vein,,79b80948-a3cd-4962-8fce-d58f2db7e68e,3,Black,Black,{2}{B},Sorcery,,,2013a774-e6ab-4f2d-a84f-fd277a637d7e
1,Aloe Alchemist,,69f2f632-b6cc-4092-acd5-a6b152e90488,2,Green,Green,{1}{G},Creature,"Plant,Warlock",,97489ef7-98c3-4700-bbe6-185215d41b25
1,Alseid of Life's Bounty,,36c8c075-9597-412e-9fc4-9d73b4405d12,1,White,White,{W},"Creature,Enchantment",Nymph,,d371031e-78be-4964-b521-b1eaa22a5480
1,Altered Ego,,d51e076a-be33-4b2b-b52f-fe7b5bc56206,4,"Green,Blue","Blue,Green",{X}{2}{G}{U},Creature,Shapeshifter,,7c35f3fd-c64e-4944-a4d5-37ce916d23c3
1,Ambitious Farmhand // Seasoned Cathar,,54d4e7c3-294d-4900-8b70-faafda17cc33,2,White,White,,Creature,"Human,Peasant",,b85e7ab2-6f57-4b65-8c16-034b342996f0
1,Ambuscade,,4df71162-7e8f-47c5-aff4-59d82d8c674d,3,Green,Green,{2}{G},Instant,,,5e419975-e054-4c35-8845-a08589ebb08f
1,Ambush Viper,,0c082aa8-bf7f-47f2-baf8-43ad253fd7d7,2,Green,Green,{1}{G},Creature,Snake,,8957f7c2-040c-4048-9f21-efa7c97682b7
1,Amonkhet Raceway,,fb37d984-5a9c-45e3-8213-4af93872d512,0,,,,Land,,,fe174586-d36b-40f6-babd-1f98e76eec22
1,Amonkhet Raceway,,4f312807-ea2a-4385-8774-4e23b4a5d4a6,0,,,,Land,,,fe174586-d36b-40f6-babd-1f98e76eec22
1,Analyze the Pollen,,5563967f-09fd-4ccf-8892-4dd0c2544c98,1,Green,Green,{G},Sorcery,,,ec7d550b-9e13-4249-89c7-6ad43f71ea11
1,Ancestors' Aid,,e90d5b7d-e27d-42d6-ba7a-d4a6b0dd8549,2,Red,Red,{1}{R},Instant,,,a95a0b13-d50f-41cf-8668-de60d445e7b0
1,Ancestral Anger,,5dee47ab-d603-4346-97f4-a25dc3f47765,1,Red,Red,{R},Sorcery,,,e0828e8d-f01f-4088-9123-6d923ddb3242
2,Ancestral Anger,,a3788bc3-9c99-4f88-a976-28f46d9ef929,1,Red,Red,{R},Sorcery,,,e0828e8d-f01f-4088-9123-6d923ddb3242
1,Ancestral Mask,,1203f98a-fb6e-4f16-88e3-553eba177450,3,Green,Green,{2}{G},Enchantment,Aura,,db5380ed-ba28-4ea2-abc3-4998e2022903
1,Ancestral Reminiscence,,625690d3-7131-45de-adea-9c927241e661,4,Blue,Blue,{3}{U},Sorcery,,,dbfa2743-34ff-40e3-81f7-740fc08cd18a
2,Ancient Den,,d9a7b0f6-97f9-4937-865c-e25c142c3ed7,0,,White,,"Artifact,Land",,,02f16726-f2f6-4943-b71a-93f8e26251d3
4,Ancient Grudge,,e5e7b966-7c5b-44e6-a6df-4bd7af4edaa9,2,Red,"Red,Green",{1}{R},Instant,,,306593b0-6ea8-476f-a3f2-e17876c1bab4
3,Angel,,35e56eac-93d5-4ed3-af8f-2c77f0071e16,0,White,White,,"Creature,Token",Angel,,40c64f08-ab2f-4933-8e0e-d1a1c729008f
1,Angelic Destiny,,a588b610-86bb-4a18-b54e-a12f7d7d15c8,4,White,White,{2}{W}{W},Enchantment,Aura,,8ba36878-0816-44c7-b543-8ebfc28c2ecd
1,Angelic Intervention,,09fb5876-5b47-4a05-be57-7ad3890c8953,2,White,White,{1}{W},Instant,,,3d036f68-5f3a-4182-88f0-cdd685817dd0
1,Angelic Sell-Sword,,7581a319-8d15-4b67-a3d5-b90f1e99079b,5,White,White,{4}{W},Creature,"Angel,Mercenary",,60c77b18-c111-4e16-ad19-2ef32582cd9e
1,Angel's Grace,,580cb5be-fa59-4eb9-8808-7d2943fb6413,1,White,White,{W},Instant,,,66ca8a60-e028-4a5f-8177-860b888cb9d1
1,Anger,,c87eecb1-99cc-47c8-b404-5c41afa59c7d,4,Red,Red,{3}{R},Creature,Incarnation,,eaabd151-2160-4bff-82c0-3fa88659be98
1,Angrath's Marauders,,cf0a0bef-ed72-4fdf-9799-6f6430c8a8a7,7,Red,Red,{5}{R}{R},Creature,"Human,Pirate",,2d4976d4-649c-4d42-ac5a-ada4b46a480c
1,Animate Dead,,54aca743-cdc7-4e98-a91c-035591cd09f2,2,Black,Black,{1}{B},Enchantment,Aura,,c0d8fef4-65f4-4769-982d-b397d2b7e977
1,Animist's Awakening,,ff681dc2-bc62-4934-b936-49af1da4af6c,1,Green,Green,{X}{G},Sorcery,,,6f1bfe50-b61a-4fdd-963c-40d59117bdf4
1,"Anim Pakal, Thousandth Moon",,868856b7-8875-43c1-8249-0f8fb2c8319b,3,"White,Red","White,Red",{1}{R}{W},Creature,"Human,Soldier",Legendary,05551d91-50c6-46d1-86a4-cd3d177d0923
1,Ankle Biter,,424972d6-3b2c-449b-b786-749a77020fa1,1,Green,Green,{G},Creature,Snake,,ee8f16ba-cbf0-4286-b26c-d78dd35bee17
1,Annex Sentry,,04baad61-1b51-4602-9e33-0de4a9f34793,3,White,White,{2}{W},"Creature,Artifact","Cleric,Phyrexian",,be31fa46-d5ac-4c85-9c19-3f0e2b1f223b
1,Annihilating Glare,,be5d0b95-ec12-4e8e-99a0-7aca457f9107,1,Black,Black,{B},Sorcery,,,a75087aa-41bd-4e0f-a118-61b5209356f5
1,Anoint with Affliction,,f7dc55a8-290f-4666-90ce-aa632e87c5e7,2,Black,Black,{1}{B},Instant,,,402c3afe-7041-41a3-8fcd-64a060c12d4a
1,Another Chance,,20d9eb9f-2fcc-49f0-99c1-bad748239466,3,Black,Black,{2}{B},Instant,,,df9cdc11-cb92-46ce-a83d-eb26e3cd004a
1,Antagonize,,8bac1d2a-99dd-40b3-8823-ce9225efcdcf,2,Red,Red,{1}{R},Instant,,,f4e860f1-e637-4640-b257-57c2e42793ce
1,Anticausal Vestige,,35372b69-6086-44e0-9f7c-681e362e5142,6,,,{6},Creature,Eldrazi,,aceea999-90ab-472c-86a7-48af1542cbcf
1,Anzrag's Rampage,,9dc52b53-3e4f-4d7d-851f-86c6e0ac67b2,5,Red,Red,{3}{R}{R},Sorcery,,,ce690a21-8117-420e-be00-cd6d9923a812
1,"Appa, Aang's Companion",,dc65327b-7fe4-461c-b2d1-faac95ecae88,4,White,White,{3}{W},Creature,"Ally,Bison",Legendary,215215b8-6ddc-4e94-8640-6d324ff65f9c
1,"Appa, Aang's Companion",,1c5ae0d3-26e4-4d10-85ae-0578cf90eead,4,White,White,{3}{W},Creature,"Ally,Bison",Legendary,215215b8-6ddc-4e94-8640-6d324ff65f9c
1,"Appa, Loyal Sky Bison",,a9b2a843-c6fe-4d19-801e-1538e4381ab0,6,White,White,{4}{W}{W},Creature,"Ally,Bison",Legendary,c6e28cf0-81c7-4f52-a29b-988cc6fd31ee
1,Approach of the Second Sun,,fdf59a6e-7708-45a1-884d-d12e9f7b9ed9,7,White,White,{6}{W},Sorcery,,,e4125377-34c0-4b54-bdf8-4e88f5d24565
1,"Arabella, Abandoned Doll",,f683d5a1-b8bf-446f-9fe3-88a4398bf3cf,2,"White,Red","White,Red",{R}{W},"Creature,Artifact",Toy,Legendary,7c4bbb1b-29c4-4e06-aed0-b361293a585b
1,Arachnus Spinner,,a782fbd4-36fe-4da7-a73f-20d533de8960,6,Green,Green,{5}{G},Creature,Spider,,8fea91ee-5849-4c46-8198-fd383d9a55e8
1,Arachnus Spinner,,a782fbd4-36fe-4da7-a73f-20d533de8960,6,Green,Green,{5}{G},Creature,Spider,,8fea91ee-5849-4c46-8198-fd383d9a55e8
1,Arachnus Web,,ec348d8d-6b49-4a40-a668-fc6dd2af4f0d,3,Green,Green,{2}{G},Enchantment,Aura,,8b25f353-0798-4a03-a928-6a701a919468
1,"Aragorn and Arwen, Wed",,d7d4c97a-9319-4534-9a49-da000f41a02d,6,"White,Green","White,Green",{4}{G}{W},Creature,"Human,Elf,Noble",Legendary,b8a3440a-03c5-444c-a1de-252524c3db82
1,Arasta of the Endless Web,,882be812-fc76-4493-abe2-2101603399ce,4,Green,Green,{2}{G}{G},"Creature,Enchantment",Spider,Legendary,695eea46-1535-48c5-bbb6-0b8379e77bfc
1,Arbiter of the Ideal,,32e58ba3-4202-4f91-b27f-7528d27c1d5c,6,Blue,Blue,{4}{U}{U},Creature,Sphinx,,a6cefecd-459e-439a-a62c-689c2919b689
1,Arbor Elf,,4b81165e-f091-4211-8b47-5ea6868b0d4c,1,Green,Green,{G},Creature,"Elf,Druid",,4567a528-75f0-4ea6-b927-3a500caf76ac
1,Arcane Bombardment,,ef7e6e2d-d984-483e-b117-b1c5d640dc23,6,Red,Red,{4}{R}{R},Enchantment,,,1e36a42f-58e2-49bc-8c14-7f75e1d8ef98
1,Arcane Denial,,13eda3d5-7d10-4d69-b7f2-cdeebda63e99,2,Blue,Blue,{1}{U},Instant,,,ab1cc360-b9de-48d9-9983-4dfe4a7d2a37
1,Arcane Lighthouse,,e2384e42-2442-4b40-9bae-8db470d2fb8c,0,,,,Land,,,30ac68e6-160a-41f9-9f0f-0e0eef383150
1,Arcane Sanctum,,a929bfef-7e6d-483d-9605-f4ba7d104656,0,,"White,Blue,Black",,Land,,,7d7cf15c-06b9-4062-a1eb-32614c458a3b
2,Arcane Signet,,f3ee9829-f4c0-44a0-8252-4097402e2f8d,2,,,{2},Artifact,,,0bc7f093-bef0-4f1a-852c-4b75ebf54838
1,Arcane Signet,,0539b83c-4459-41b5-a001-d15a1c9ddf23,2,,,{2},Artifact,,,0bc7f093-bef0-4f1a-852c-4b75ebf54838
1,Arcbound Mouser,,9d66e724-49ee-4f08-a160-584350de1d95,1,White,White,{W},"Creature,Artifact",Cat,,5e59199c-facc-46b4-9681-988de0cfaba2
2,Arcbound Prototype,,1cb0a1a4-9216-47f8-a4e3-20fe0de6a518,2,White,White,{1}{W},"Creature,Artifact",Assembly-Worker,,ac1003b4-1f7c-4801-9dd3-5cb7d9881af8
1,Arcbound Ravager,,108033ab-e9d0-4510-9075-f28c3044629c,2,,,{2},"Creature,Artifact",Beast,,62e7e7b1-9887-4d15-b0e5-a8ddc711bd88
1,Archaeomancer,,73c6d1be-55ad-4ee4-b044-88438e9b78cc,4,Blue,Blue,{2}{U}{U},Creature,"Human,Wizard",,a91a3266-cadd-47a0-9b20-160307f14c07
1,Archaeomancer's Map,,c6ff5063-c93f-4b21-8d08-ab0e8e046d39,3,White,White,{2}{W},Artifact,,,ef833546-f755-4ac5-867a-3926984e68a0
1,Archetype of Aggression,,13946413-c76d-41a8-a699-404fd56b2067,3,Red,Red,{1}{R}{R},"Creature,Enchantment","Human,Warrior",,263408e6-b315-4af5-8cb8-3fd1aa88e48c
1,Archfiend of the Dross,,86b0edaf-8cfd-4508-9554-6f0fddc2dfc4,4,Black,Black,{2}{B}{B},Creature,"Demon,Phyrexian",,9188031e-1c24-4981-a3d2-461a2bf917b6
1,Archmage Emeritus,,761df6cd-0928-4167-8902-58fdb50181a0,4,Blue,Blue,{2}{U}{U},Creature,"Human,Wizard",,8305d576-21d8-4ce7-8eda-a7cd9793aca5
1,Archon of Sun's Grace,,235e5999-e8e5-4093-adff-9d47aec70d10,4,White,White,{2}{W}{W},Creature,Archon,,48a99dce-0aa9-4aac-81df-cec5f94c639d
1,Archway of Innovation,,6a90f9e6-9251-4203-9599-cc4032a5e6e1,0,,Blue,,Land,,,bfa20bc7-4626-4a52-87f4-6e2763cb8ed5
1,Ardent Electromancer,,e8685c8e-935f-49f2-acf2-8e3c41c5b330,3,Red,Red,{2}{R},Creature,"Human,Wizard",,43827acb-70cf-44a3-8560-e9f7330c835e
1,A Realm Reborn,,d1af74e4-38d5-44b5-85e1-4d13f6970453,6,Green,Green,{4}{G}{G},Enchantment,,,fd230ab5-874e-4827-9b5c-6d39d079cee6
1,Argivian Cavalier,,57746e72-ba9f-4717-a4a2-6c6a039080c3,3,White,White,{2}{W},Creature,"Knight,Orc",,c45090bd-a589-45a0-8388-025b8e0b3487
1,Arid Archway,,3f8c8fa2-12ab-4f6a-9f7a-2bc69e9ba024,0,,,,Land,Desert,,3be3d7e6-7860-438a-b8c8-ef154c18c163
1,"Arixmethes, Slumbering Isle",,bf561379-4e5f-486a-bcdf-6e08e105316e,4,"Green,Blue","Blue,Green",{2}{G}{U},Creature,Kraken,Legendary,caeb39ee-f0bb-4305-9e8b-b30ba0a74c78
1,Armadillo Cloak,,fa232c65-dbb4-4414-bd95-b3bbd321c653,3,"White,Green","White,Green",{1}{G}{W},Enchantment,Aura,,15397a59-70a8-441f-abf7-230405a1602b
1,Armament Corps,,dbd2c383-67a9-4f2f-b35f-b6e86c4d1a48,5,"White,Green,Black","White,Black,Green",{2}{W}{B}{G},Creature,"Human,Soldier",,3b93427c-5b40-4119-96ae-7dce3ca2bbb9
1,Armorcraft Judge,,0893ada6-d7dd-4913-8c94-a780fc559859,4,Green,Green,{3}{G},Creature,"Elf,Artificer",,d7f49243-a96e-499f-b2d7-8e9842432420
1,Armored Armadillo,,263232df-69b8-4205-93ad-c724fe57ec11,1,White,White,{W},Creature,Armadillo,,dca25245-523a-4587-a059-a14ee2ef908d
1,Armorer Guildmage,,e999fdc3-9269-44d7-9015-e16f5e5b73eb,1,Red,"Black,Red,Green",{R},Creature,"Human,Wizard",,7b75b74c-6003-4b34-bae3-2c9e2f880042
1,Armory Automaton,,99fbb6f1-0584-45c2-b4c5-0431447913d4,3,,,{3},"Creature,Artifact",Construct,,fa3335be-80b1-49d7-9809-5bef13be79f4
2,Armory of Iroas,,703a03ac-5bb5-4e36-ab9b-a5c007ffc03d,2,,,{2},Artifact,Equipment,,7ac1aab0-9d2d-4fb7-b0bb-0af3e6d665db
